table_name,event_date,user_pseudo_id,advertising_id,app_version,platform,country,online_time,max_level,engagement_time_msec,ga_session_id,ga_session_number,event_name,product_id_iap,rev_iap,rev_iaa,placement,ad_source,ad_format,install_date
IAA,7/24/2025,7f9b690144860ce76d7bba500db434a4,9bdf2a50-4b49-4b2b-83bc-ade94940f59c,3.1.1,ANDROID,Lebanon,394642,49,,1753303503,29,ad_impression,,0,0.000180807,AdsChangeFahion,Google AdMob,REWARDED,7/18/2025
IAA,7/23/2025,021ab7703a43b22dc58bf1db3510c020,9d370ab3-1d36-4ec6-8f9f-b8044a8f4461,3.1.1,ANDROID,Puerto Rico,217172,399,,1753235459,161,ad_impression,,0,0.002242269,AdsChangeFahion,AppLovin,REWARDED,6/27/2025
IAA,8/10/2025,7a32041118421218cfe6c64b0039d64d,9d71dd38-5df4-4cf8-8b1a-92ff239b9d08,3.1.1,ANDROID,South Korea,5282356,57,,1754826239,7,ad_impression,,0,0.03494503,GameWinAds_Type_1.1,AppLovin,REWARDED,8/4/2025
IAA,7/18/2025,0d0b7be4fda27f9e6b18cbdd3c7bce4d,9d862178-d5de-4eea-8147-aa6284917ef0,3.1.1,ANDROID,India,14198,15,,1752835444,5,ad_impression,,0,0.000360118,HeartAds,AppLovin,INTER,7/6/2025
IAA,7/18/2025,0d0b7be4fda27f9e6b18cbdd3c7bce4d,9d862178-d5de-4eea-8147-aa6284917ef0,3.1.1,ANDROID,India,12957,13,,1752835444,5,ad_impression,,0,0.000366232,HeartAds,AppLovin,INTER,7/6/2025
IAA,7/19/2025,bfcfb1ac3a6a9911ba79e8b7a35eff22,a2f80aa0-c522-4343-97d8-95724847f538,3.1.1,ANDROID,Indonesia,162664,23,,1752921480,17,ad_impression,,0,0.001050076,HeartAds,Unity Ads,REWARDED,7/3/2025
IAA,8/10/2025,4644229cefcac2fee698c8faeb28e830,a6b8b5b3-acaa-4265-abb3-05a4edb6db59,3.1.1,ANDROID,Brazil,11034076,389,,1754760849,36,ad_impression,,0,0.000346576,Ads_NMC,APPLOVIN_EXCHANGE,INTER,7/26/2025
IAA,7/23/2025,4e2845ffcda17f9bfc37178c01ecf8fc,ace26c76-c7e5-4c0c-8c8f-1d64c4e8e8ea,3.1.1,ANDROID,Egypt,4603,12,,1753222007,2,ad_impression,,0,0.0003762,AdsChangeFahion,Mintegral,REWARDED,7/23/2025
IAA,7/24/2025,dc14545f362368ddc541d9552a102efd,ad5a7b34-3835-4e1c-9596-d9960cc0699f,3.1.1,ANDROID,United States,282335,126,,1753325080,47,ad_impression,,0,0.025635805,GameWinAds_Type_1.1,Google AdMob,REWARDED,7/19/2025
IAA,7/24/2025,e85a4aff8cda2131e72e90ad31870df5,af82ba29-9ee2-4bd8-8c2a-ea9955cce6a9,3.1.1,ANDROID,South Africa,58703,18,,1753312807,6,ad_impression,,0,0.007535839,AdsUpgrade_Patient,AppLovin,REWARDED,7/22/2025
IAA,8/1/2025,66bf87fb4240af00712fc7a853d87ce3,b4c7e800-f234-4100-814e-3857d6be6231,3.1.1,ANDROID,Taiwan,7224793,148,,1754010868,108,ad_impression,,0,0.022023572,GameWinAds_Type_2.1,AppLovin,REWARDED,6/24/2025
IAA,7/21/2025,66bf87fb4240af00712fc7a853d87ce3,b4c7e800-f234-4100-814e-3857d6be6231,3.1.1,ANDROID,Taiwan,8528069,347,,1753059762,75,ad_impression,,0,0.01040475,GameWinAds_Type_2.1,APPLOVIN_EXCHANGE,REWARDED,6/24/2025
IAA,7/26/2025,66bf87fb4240af00712fc7a853d87ce3,b4c7e800-f234-4100-814e-3857d6be6231,3.1.1,ANDROID,Taiwan,5173330,102,,1753521222,92,ad_impression,,0,0.012300843,GameWinAds_Type_2.1,Google AdMob,REWARDED,6/24/2025
IAA,7/17/2025,66bf87fb4240af00712fc7a853d87ce3,b4c7e800-f234-4100-814e-3857d6be6231,3.1.1,ANDROID,Taiwan,6133928,299,,1752714089,64,ad_impression,,0,0.013,GameWinAds_Type_2.1,Google AdMob,REWARDED,6/24/2025
IAA,7/16/2025,66bf87fb4240af00712fc7a853d87ce3,b4c7e800-f234-4100-814e-3857d6be6231,3.1.1,ANDROID,Taiwan,5943514,290,,1752628480,61,ad_impression,,0,0.028860321,GameWinAds_Type_2.1,Google AdMob,REWARDED,6/24/2025
IAA,7/19/2025,66bf87fb4240af00712fc7a853d87ce3,b4c7e800-f234-4100-814e-3857d6be6231,3.1.1,ANDROID,Taiwan,7355741,324,,1752899858,71,ad_impression,,0,0.021230251,GameWinAds_Type_2.1,APPLOVIN_EXCHANGE,REWARDED,6/24/2025
